trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
663,False,"{'a': 0.5, 'e': 2.0452264415637373e-06}",25,16,14.632806371884774,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
664,False,"{'a': 0.5, 'e': 1.945479765037834e-06}",25,11,24.441497662525467,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
665,False,"{'a': 0.5, 'e': 1.8505977728634534e-06}",35,20,34.27865156502661,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
666,False,"{'a': 0.5, 'e': 1.7603432133424856e-06}",20,14,11.130286412659666,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
667,False,"{'a': 0.5, 'e': 1.6744904055114527e-06}",25,16,13.447868248591792,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
668,False,"{'a': 0.5, 'e': 1.5928246748460262e-06}",25,20,11.14834647940788,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
669,False,"{'a': 0.5, 'e': 1.5151418164850468e-06}",25,19,11.796615202054088,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
670,False,"{'a': 0.5, 'e': 1.4412475846320756e-06}",30,16,26.0205084974792,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
671,False,"{'a': 0.5, 'e': 1.3709572068578448e-06}",20,10,22.081127550057158,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
672,False,"{'a': 0.5, 'e': 1.3040949220893727e-06}",20,8,21.97947957311992,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
673,False,"{'a': 0.5, 'e': 1.2404935411305788e-06}",20,9,22.2467896335705,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
674,False,"{'a': 0.5, 'e': 1.1799940286156403e-06}",20,7,25.47786591367428,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
675,False,"{'a': 0.5, 'e': 1.1224451053499155e-06}",20,8,20.59466566601578,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
676,False,"{'a': 0.5, 'e': 1.067702870044147e-06}",35,17,32.7367466876884,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
677,False,"{'a': 0.5, 'e': 1.015630439496253e-06}",20,6,12.050091982029695,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
678,False,"{'a': 0.5, 'e': 9.660976063210267e-07}",30,13,31.504536446513356,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
679,False,"{'a': 0.5, 'e': 9.189805133719969e-07}",25,6,12.17130675488612,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
680,False,"{'a': 0.5, 'e': 8.741613440414359e-07}",30,13,32.07314690409685,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
681,False,"{'a': 0.5, 'e': 8.315280276641321e-07}",25,4,35.81240284604298,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
682,False,"{'a': 0.5, 'e': 7.909739592884031e-07}",20,15,12.009392550519106,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
683,False,"{'a': 0.5, 'e': 7.523977331136466e-07}",25,16,16.71909769641754,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
684,False,"{'a': 0.5, 'e': 7.1570288892796e-07}",25,13,-0.6102032596632077,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
685,False,"{'a': 0.5, 'e': 6.8079767091185e-07}",20,12,15.23248269791231,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
686,False,"{'a': 0.5, 'e': 6.475947982049267e-07}",20,1,37.076510831387424,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
687,False,"{'a': 0.5, 'e': 6.16011246661963e-07}",20,10,20.06360262920239,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
688,False,"{'a': 0.5, 'e': 5.859680412525955e-07}",25,13,22.929067243942626,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
689,False,"{'a': 0.5, 'e': 5.57390058585609e-07}",20,10,19.27059926227025,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
690,False,"{'a': 0.5, 'e': 5.302058390640482e-07}",25,16,19.4075678035408,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
691,False,"{'a': 0.5, 'e': 5.043474082014517e-07}",25,8,35.2068691352533,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
692,False,"{'a': 0.5, 'e': 4.797501066524569e-07}",30,17,26.882844315120632,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
693,False,"{'a': 0.5, 'e': 4.5635242853276525e-07}",20,7,27.023882998288013,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
694,False,"{'a': 0.5, 'e': 4.3409586762421055e-07}",25,11,23.680498845142115,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
695,False,"{'a': 0.5, 'e': 4.129247710803902e-07}",25,20,7.06546939241875,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
696,False,"{'a': 0.5, 'e': 3.927862002670442e-07}",20,12,14.947588969277682,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
697,False,"{'a': 0.5, 'e': 3.736297983892476e-07}",30,10,36.77256262099928,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
698,False,"{'a': 0.5, 'e': 3.554076645744105e-07}",30,14,28.665830752109425,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
699,False,"{'a': 0.5, 'e': 3.380742340962473e-07}",20,2,33.83301078100176,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
700,False,"{'a': 0.5, 'e': 3.215861644402301e-07}",30,13,32.265998113693534,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
701,False,"{'a': 0.5, 'e': 3.059022269256247e-07}",20,0,31.920900252200244,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
702,False,"{'a': 0.5, 'e': 2.9098320361313507e-07}",20,7,22.821537662781523,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
703,False,"{'a': 0.5, 'e': 2.7679178924036493e-07}",20,13,12.061470814653637,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
704,False,"{'a': 0.5, 'e': 2.632924979398981e-07}",30,10,37.92704746498736,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
705,False,"{'a': 0.5, 'e': 2.5045157450675526e-07}",25,20,8.972143237984914,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
